Unexplained	Promoter	Distal	gene
64.1061452513967	35.8938547486034	0	0610005C13Rik
71.5088282504013	0	28.4911717495987	0610007P14Rik
100	0	0	0610009B22Rik
93.2139491046183	6.78605089538171	0	0610009L18Rik
100	0	0	0610009O20Rik
96.2245885769603	3.77541142303969	0	0610010F05Rik
99.402390438247	0	0.597609561752988	0610010K14Rik
100	0	0	0610012G03Rik
76.056338028169	0	23.943661971831	0610030E20Rik
100	0	0	0610037L13Rik
100	0	0	0610039H22Rik
100	0	0	0610040B10Rik
86.0633484162896	0	13.9366515837104	0610040J01Rik
100	0	0	1010001N08Rik
100	0	0	1110002L01Rik
40.515350877193	0	59.484649122807	1110004E09Rik
53.8965291421087	0	46.1034708578913	1110004F10Rik
100	0	0	1110006O24Rik
100	0	0	1110008F13Rik
66.1157024793389	0	33.8842975206612	1110008L16Rik
100	0	0	1110008P14Rik
82.2339489885664	0	17.7660510114336	1110012L19Rik
100	0	0	1110019D14Rik
100	0	0	1110020A21Rik
89.6103896103896	0	10.3896103896104	1110028F11Rik
100	0	0	1110032A03Rik
97.0760233918129	2.92397660818713	0	1110032F04Rik
100	0	0	1110034G24Rik
100	0	0	1110037F02Rik
79.6075085324232	0	20.3924914675768	1110038B12Rik
49.6876774559909	50.3123225440091	0	1110038F14Rik
65.8986175115207	0	34.1013824884793	1110046J04Rik
100	0	0	1110051M20Rik
75.5608974358974	21.2339743589744	3.20512820512821	1110059E24Rik
100	0	0	1110059G10Rik
100	0	0	1110065P20Rik
95.635305528613	0	4.364694471387	1190002N15Rik
61.3133476088508	0	38.6866523911492	1190007I07Rik
100	0	0	1300002E11Rik
100	0	0	1300017J02Rik
100	0	0	1500004A13Rik
55.2980132450331	0	44.7019867549669	1500009L16Rik
37.2689938398357	23.1006160164271	39.6303901437372	1500011B03Rik
100	0	0	1500011K16Rik
68.6969930609098	0	31.3030069390902	1500015A07Rik
0	100	0	1500015O10Rik
81.9130434782609	0	18.0869565217391	1500026H17Rik
100	0	0	1600002H07Rik
100	0	0	1600002K03Rik
100	0	0	1600010M07Rik
52.8191834089436	0	47.1808165910564	1600012H06Rik
60	0	40	1600014C10Rik
95.8534233365477	4.14657666345227	0	1600020E01Rik
100	0	0	1600023N17Rik
100	0	0	1600029I14Rik
46.7059453668988	53.2940546331012	0	1600029O15Rik
100	0	0	1700001C19Rik
100	0	0	1700001G11Rik
78.5481239804242	21.4518760195759	0	1700001G17Rik
100	0	0	1700001J11Rik
97.7450980392157	2.25490196078431	0	1700001L05Rik
99.3034825870647	0	0.696517412935324	1700001O22Rik
98.6138613861386	0	1.38613861386139	1700003E16Rik
100	0	0	1700007L15Rik
100	0	0	1700008J07Rik
100	0	0	1700008O03Rik
100	0	0	1700010I14Rik
100	0	0	1700012B07Rik
100	0	0	1700012D01Rik
89.1107078039928	10.8892921960073	0	1700012D16Rik
100	0	0	1700017B05Rik
88.9916743755782	0	11.0083256244218	1700019D03Rik
100	0	0	1700020I14Rik
87.2611464968153	0	12.7388535031847	1700020L24Rik
100	0	0	1700021F05Rik
100	0	0	1700022A21Rik
100	0	0	1700024P16Rik
79.1907514450867	20.8092485549133	0	1700025G04Rik
100	0	0	1700027F09Rik
100	0	0	1700027J07Rik
100	0	0	1700028E10Rik
72.8384991843393	0	27.1615008156607	1700028I16Rik
100	0	0	1700028J19Rik
80.8362369337979	0	19.1637630662021	1700028K03Rik
100	0	0	1700029J07Rik
0	100	0	1700029M20Rik
100	0	0	1700030C10Rik
78.8034188034188	0	21.1965811965812	1700030J22Rik
75.4152823920266	0	24.5847176079734	1700030K09Rik
100	0	0	1700034J05Rik
100	0	0	1700037C18Rik
100	0	0	1700037H04Rik
82.679180887372	17.320819112628	0	1700040L02Rik
14.925709140027	85.074290859973	0	1700042O10Rik
100	0	0	1700047M11Rik
83.6734693877551	0	16.3265306122449	1700048O20Rik
100	0	0	1700052K11Rik
100	0	0	1700056E22Rik
100	0	0	1700061F12Rik
100	0	0	1700061G19Rik
100	0	0	1700066B19Rik
64.1666666666667	35.8333333333333	0	1700066M21Rik
100	0	0	1700071M16Rik
100	0	0	1700084E18Rik
68.9922480620155	0	31.0077519379845	1700086O06Rik
100	0	0	1700094D03Rik
100	0	0	1700095J12Rik
100	0	0	1700096K18Rik
100	0	0	1700097N02Rik
100	0	0	1700102P08Rik
100	0	0	1700112E06Rik
26.6227004512322	73.3772995487678	0	1700113A16Rik
100	0	0	1700113H08Rik
100	0	0	1700122C19Rik
80.9153713298791	0	19.0846286701209	1700123M08Rik
100	0	0	1700123O20Rik
81.2607944732297	0	18.7392055267703	1810006J02Rik
100	0	0	1810010H24Rik
100	0	0	1810011H11Rik
100	0	0	1810011O10Rik
74.9183006535948	0	25.0816993464052	1810013L24Rik
45.8879618593564	0	54.1120381406436	1810014B01Rik
33.0152671755725	0	66.9847328244275	1810022K09Rik
100	0	0	1810026B05Rik
100	0	0	1810026J23Rik
51.264367816092	48.735632183908	0	1810030O07Rik
100	0	0	1810032O08Rik
100	0	0	1810034E14Rik
100	0	0	1810037I17Rik
9.10060433700676	90.8993956629933	0	1810041H14Rik
98.7115956392468	0	1.28840436075322	1810041L15Rik
100	0	0	1810043G02Rik
91.6195856873823	0	8.3804143126177	1810044D09Rik
90.4499540863177	9.55004591368228	0	1810046K07Rik
100	0	0	1810055G02Rik
100	0	0	1810058I24Rik
61.3590939373751	38.6409060626249	0	1810062G17Rik
100	0	0	1810062O18Rik
93.7799043062201	0	6.22009569377991	1810065E05Rik
28.4959349593496	22.7642276422764	48.739837398374	2010001A14Rik
100	0	0	2010016I18Rik
100	0	0	2010106E10Rik
79.777206512425	0	20.222793487575	2010107E04Rik
100	0	0	2010107G23Rik
100	0	0	2010109A12Rik
98.9098116947473	1.09018830525273	0	2010109I03Rik
50.2645502645503	35.5085243974133	14.2269253380364	2010111I01Rik
100	0	0	2010204K13Rik
100	0	0	2010300C02Rik
93.1493815413891	0	6.85061845861085	2010315B03Rik
100	0	0	2010320M18Rik
100	0	0	2200002D01Rik
100	0	0	2210011C24Rik
100	0	0	2210013O21Rik
99.0069513406157	0	0.99304865938431	2210016F16Rik
100	0	0	2210016L21Rik
75.6735340729002	24.3264659270998	0	2210407C18Rik
100	0	0	2210408F21Rik
100	0	0	2210408I21Rik
99.5014955134596	0	0.498504486540379	2210414B05Rik
100	0	0	2300009A05Rik
100	0	0	2310001H17Rik
93.038570084666	6.96142991533396	0	2310009A05Rik
100	0	0	2310009B15Rik
100	0	0	2310010J17Rik
100	0	0	2310011J03Rik
100	0	0	2310015A10Rik
100	0	0	2310015D24Rik
97.6493633692458	2.35063663075416	0	2310022A10Rik
100	0	0	2310022B05Rik
100	0	0	2310030G06Rik
100	0	0	2310033P09Rik
100	0	0	2310034G01Rik
81.0763888888889	0	18.9236111111111	2310035C23Rik
100	0	0	2310036O22Rik
100	0	0	2310039H08Rik
100	0	0	2310040G24Rik
96.8688845401174	0	3.13111545988258	2310057M21Rik
100	0	0	2310061I04Rik
100	0	0	2310075C17Rik
100	0	0	2410002F23Rik
100	0	0	2410004B18Rik
96.3178294573643	3.68217054263566	0	2410004P03Rik
100	0	0	2410006H16Rik
80.3989592367736	0	19.6010407632264	2410015M20Rik
100	0	0	2410016O06Rik
100	0	0	2410018L13Rik
75.6239600665558	0	24.3760399334443	2410089E03Rik
100	0	0	2410131K14Rik
100	0	0	2500002B13Rik
100	0	0	2500004C02Rik
100	0	0	2510002D24Rik
78.4799316823228	0	21.5200683176772	2510009E07Rik
96.6796875	0	3.3203125	2510039O18Rik
100	0	0	2610001J05Rik
99.2055610724926	0.794438927507448	0	2610002M06Rik
100	0	0	2610005L07Rik
82.4829931972789	17.5170068027211	0	2610008E11Rik
100	0	0	2610020C07Rik
100	0	0	2610020H08Rik
100	0	0	2610027K06Rik
81.9772528433946	0	18.0227471566054	2610035D17Rik
100	0	0	2610037D02Rik
100	0	0	2610042L04Rik
100	0	0	2610044O15Rik8
100	0	0	2610203C22Rik
100	0	0	2610206C17Rik
100	0	0	2610301B20Rik
100	0	0	2610306M01Rik
100	0	0	2610307P16Rik
98.5148514851485	0	1.48514851485149	2610318N02Rik
100	0	0	2610507B11Rik
90.5519176800748	0	9.44808231992516	2610507I01Rik
42.3793859649123	15.0767543859649	42.5438596491228	2610524H06Rik
100	0	0	2610528A11Rik
100	0	0	2700038G22Rik
100	0	0	2700046G09Rik
74.5693191140279	0	25.4306808859721	2700049A03Rik
75.2450980392157	0	24.7549019607843	2700054A10Rik
91.0798122065728	0	8.92018779342723	2700060E02Rik
78.8085106382979	0	21.1914893617021	2700062C07Rik
100	0	0	2700081O15Rik
66.7181467181467	0	33.2818532818533	2700094K13Rik
74.3089430894309	0	25.6910569105691	2700097O09Rik
71.0168134507606	0	28.9831865492394	2700099C18Rik
82.8498293515358	17.1501706484642	0	2810001G20Rik
100	0	0	2810002D19Rik
51.0230179028133	0	48.9769820971867	2810004N23Rik
100	0	0	2810006K23Rik
74.2225859247136	0	25.7774140752864	2810013P06Rik
100	0	0	2810021J22Rik
100	0	0	2810025M15Rik
100	0	0	2810029C07Rik
62.272396212673	0	37.727603787327	2810032G03Rik
19.2969870875179	0	80.7030129124821	2810047C21Rik1
100	0	0	2810403A07Rik
87.102633969119	0	12.897366030881	2810403D21Rik
100	0	0	2810408A11Rik
100	0	0	2810408I11Rik
100	0	0	2810410L24Rik
98.4174085064293	0	1.58259149357072	2810417H13Rik
100	0	0	2810428I15Rik
75.0394944707741	24.9605055292259	0	2810454H06Rik
100	0	0	2810459M11Rik
100	0	0	2810468N07Rik
100	0	0	2810474O19Rik
100	0	0	2900005J15Rik
100	0	0	2900011O08Rik
100	0	0	2900026A02Rik
80.2938634399309	0	19.7061365600691	2900041M22Rik
100	0	0	2900052N01Rik
64.2750373692078	0	35.7249626307922	2900060B14Rik
100	0	0	2900076A07Rik
100	0	0	2900079G21Rik
80.8885163453479	19.1114836546521	0	2900097C17Rik
100	0	0	3000002C10Rik
100	0	0	3010026O09Rik
82.791922739245	0	17.208077260755	3110002H16Rik
100	0	0	3110009E18Rik
92.2421948912015	0	7.75780510879849	3110021A11Rik
100	0	0	3110035E14Rik
100	0	0	3110039I08Rik
85.8303249097473	0	14.1696750902527	3110040N11Rik
100	0	0	3110043O21Rik
100	0	0	3110045C21Rik
77.9041429731925	22.0958570268075	0	3110056K07Rik
96.1051606621227	0	3.89483933787731	3110062M04Rik
100	0	0	3110082I17Rik
77.2946859903382	22.7053140096618	0	3200001D21Rik
71.6834755624515	21.1792086889061	7.13731574864236	3300005D01Rik
86.0035211267606	13.9964788732394	0	3425401B19Rik
100	0	0	3632451O06Rik
82.9525483304042	0	17.0474516695958	3632454L22Rik
100	0	0	3830403N18Rik
100	0	0	3830406C13Rik
94.8891031822565	0	5.11089681774349	3830408C21Rik
88.0733944954129	0	11.9266055045872	4430402I18Rik
93.6902485659656	0	6.30975143403442	4632404H12Rik
100	0	0	4632415L05Rik
84.968496849685	0	15.031503150315	4632427E13Rik
37.3290793072015	62.6709206927985	0	4632428C04Rik
95.9183673469388	0	4.08163265306122	4732471J01Rik
100	0	0	4732491K20Rik
75.5344418052257	24.4655581947743	0	4831440E17Rik
100	0	0	4833411C07Rik
100	0	0	4833412C05Rik
100	0	0	4833417C18Rik
100	0	0	4833418N02Rik
88.6844526218951	0	11.3155473781049	4833419F23Rik
86.9333333333333	13.0666666666667	0	4833420G17Rik
72.1590909090909	0	27.8409090909091	4833422C13Rik
100	0	0	4833439L19Rik
100	0	0	4921501E09Rik
46.9340974212034	53.0659025787966	0	4921507P07Rik
94.2363112391931	0	5.76368876080692	4921511C10Rik
100	0	0	4921511I17Rik
100	0	0	4921517D22Rik
100	0	0	4921524J17Rik
97.7362204724409	0	2.26377952755906	4921525O09Rik
58.1379310344828	0	41.8620689655172	4921531C22Rik
100	0	0	4922502D21Rik
54.8993288590604	0	45.1006711409396	4930402H24Rik
83.2451499118166	0	16.7548500881834	4930404I05Rik
100	0	0	4930404N11Rik
78.0944625407166	21.9055374592834	0	4930405O22Rik
6.30045284504824	0	93.6995471549518	4930412O13Rik
100	0	0	4930417O13Rik
96.2962962962963	0	3.7037037037037	4930426D05Rik
100	0	0	4930426L09Rik
100	0	0	4930427A07Rik
98.9087301587302	0	1.09126984126984	4930428O21Rik
91.9811320754717	0	8.0188679245283	4930429B21Rik
100	0	0	4930430F08Rik
100	0	0	4930431P03Rik
100	0	0	4930432J09Rik
100	0	0	4930432K21Rik
100	0	0	4930447C04Rik
88.5379061371841	11.4620938628159	0	4930447F24Rik
100	0	0	4930447M23Rik
100	0	0	4930451G09Rik
100	0	0	4930452B06Rik
100	0	0	4930453N24Rik
100	0	0	4930455G09Rik
100	0	0	4930463O16Rik
99.5014955134596	0	0.498504486540379	4930478L05Rik
74.8031496062992	25.1968503937008	0	4930480K15Rik
69.7151424287856	30.2848575712144	0	4930480K23Rik
84.8214285714286	0	15.1785714285714	4930481A15Rik
62.4651810584958	22.4233983286908	15.1114206128134	4930486L24Rik
100	0	0	4930503L19Rik
55.6160653505786	0	44.3839346494214	4930507D05Rik
86.1788617886179	0	13.8211382113821	4930509E16Rik
100	0	0	4930511E03Rik
100	0	0	4930513N10Rik
88.9916743755782	0	11.0083256244218	4930515G01Rik
22.4836097184728	0	77.5163902815272	4930520O04Rik
100	0	0	4930523C07Rik
100	0	0	4930525G20Rik
100	0	0	4930526I15Rik
97.4459724950884	0	2.55402750491159	4930539E08Rik
77.3129525341915	22.6870474658085	0	4930544D05Rik
100	0	0	4930549C15Rik
46.1096605744125	53.8903394255875	0	4930550C14Rik
97.5514201762978	2.44857982370225	0	4930552P12Rik
100	0	0	4930556M19Rik
100	0	0	4930558J18Rik
62.0132255694342	0	37.9867744305658	4930563E22Rik
81.6827344434706	0	18.3172655565294	4930565N06Rik
100	0	0	4930577N17Rik
100	0	0	4930578C19Rik
100	0	0	4930579G18Rik
91.5333960489182	0	8.46660395108184	4930579G24Rik
100	0	0	4930579K19Rik
0	100	0	4930579P08Rik
100	0	0	4930581F22Rik
66.1865049279757	0	33.8134950720243	4930594C11Rik
2.12865497076023	0	97.8713450292398	4930599N23Rik
100	0	0	4931406C07Rik
80.1553062985332	0	19.8446937014668	4931406H21Rik
97.7362204724409	0	2.26377952755906	4931406P16Rik
100	0	0	4931408D14Rik
70.0626959247649	0	29.9373040752351	4931414P19Rik
81.3751087902524	0	18.6248912097476	4931428F04Rik
100	0	0	4931431C16Rik
100	0	0	4931431F19Rik
48.3258928571429	51.6741071428571	0	4931440F15Rik
100	0	0	4931440P22Rik
89.3636363636364	10.6363636363636	0	4932416H05Rik
100	0	0	4932438A13Rik
100	0	0	4932438H23Rik
99.2039800995025	0	0.796019900497513	4933400F21Rik
100	0	0	4933404K13Rik
35.3206412825651	0	64.6793587174349	4933404O12Rik
100	0	0	4933406C10Rik
91.9583727530747	0	8.04162724692526	4933406F09Rik
88.3272058823529	0	11.6727941176471	4933406M09Rik
45.9416445623342	54.0583554376658	0	4933407K13Rik
100	0	0	4933408B17Rik
100	0	0	4933409K07Rik
29.4271808311494	70.5728191688506	0	4933412E12Rik
100	0	0	4933413J09Rik
86.7633726201269	0	13.2366273798731	4933417E11Rik
28.1085154483798	71.8914845516202	0	4933417O13Rik
78.2290820471162	21.7709179528838	0	4933421O10Rik
93.3269780743565	0	6.67302192564347	4933427D14Rik
100	0	0	4933428G20Rik
47.1549636803874	0	52.8450363196126	4933430I17Rik
100	0	0	4933431E20Rik
96.3937621832359	0	3.60623781676413	4933431G14Rik
100	0	0	4933432I03Rik
100	0	0	4933434E20Rik
97.252208047105	0	2.747791952895	4933438K21Rik
100	0	0	4933439C10Rik
100	0	0	4933439K11Rik
100	0	0	4933440M02Rik
87.1350364963504	0	12.8649635036496	5031425E22Rik
72.9166666666667	0	27.0833333333333	5031425F14Rik
73.0675345809601	0	26.9324654190399	5031426D15Rik
52.5974025974026	0	47.4025974025974	5031434O11Rik
85.254691689008	2.05540661304736	12.6899016979446	5031439G07Rik
100	0	0	5033406O09Rik
90.0372439478585	0	9.96275605214153	5033428I22Rik
100	0	0	5430402O13Rik
100	0	0	5430405H02Rik
96.2025316455696	0	3.79746835443038	5430416N02Rik
100	0	0	5430416O09Rik
100	0	0	5430425K12Rik
79.1057609630267	0	20.8942390369733	5430427O19Rik
65.9379407616361	34.0620592383639	0	5430431A17Rik
100	0	0	5430437J10Rik
63.8536221060493	0	36.1463778939507	5530601H04Rik
74.0249609984399	25.9750390015601	0	5730405O15Rik
91.2757973733583	0	8.72420262664165	5730408K05Rik
100	0	0	5730409E04Rik
100	0	0	5730420D15Rik
100	0	0	5730455P16Rik
100	0	0	5730460C07Rik
73.3603238866397	0	26.6396761133603	5730480H06Rik
76.8079800498753	6.48379052369077	16.7082294264339	5730488B01Rik
70.5463182897862	0	29.4536817102138	5730507C01Rik
100	0	0	5730508B09Rik
73.5530546623794	0	26.4469453376206	5730559C18Rik
100	0	0	5830411N06Rik
100	0	0	5830416I19Rik
100	0	0	5830417I10Rik
100	0	0	5830418P13Rik
100	0	0	5830428M24Rik
100	0	0	5830432E09Rik
100	0	0	5830444B04Rik
68.600154679041	0	31.399845320959	5830454E08Rik
100	0	0	5930403L14Rik
53.9028887523049	46.0971112476951	0	5930412G12Rik
100	0	0	5930430L01Rik
100	0	0	6030408B16Rik
95.8534233365477	4.14657666345227	0	6030443J06Rik
81.1958405545927	0	18.8041594454073	6030458C11Rik
80.2597402597403	0	19.7402597402597	6030468B19Rik
73.6415247364152	0	26.3584752635848	6030498E09Rik
100	0	0	6230400D17Rik
91.6116870876532	0	8.38831291234684	6330403K07Rik
100	0	0	6330407A03Rik
81.038961038961	0	18.961038961039	6330408A02Rik
96.8688845401174	0	3.13111545988258	6330415B21Rik
52.1488133418858	0	47.8511866581142	6330415G19Rik
100	0	0	6330418K02Rik
63.677130044843	0	36.322869955157	6330549D23Rik
100	0	0	6430531B16Rik
94.8891031822565	0	5.11089681774349	6430548M08Rik
100	0	0	6430550D23Rik
100	0	0	6430562O15Rik
100	0	0	6430571L13Rik
90.1189387008234	9.88106129917658	0	6430573F11Rik
100	0	0	6430584L05Rik
100	0	0	6530402F18Rik
85.626643295355	14.373356704645	0	6720468P15Rik
98.8095238095238	0	1.19047619047619	6720489N17Rik
59.344894026975	40.6551059730251	0	6820408C15Rik
58.9147286821705	41.0852713178295	0	6820431F20Rik
100	0	0	8030462N17Rik
81.4912280701754	0	18.5087719298246	8430408G22Rik
100	0	0	8430423G03Rik
68.6813186813187	0	31.3186813186813	8430426J06Rik
71.9775820656525	0	28.0224179343475	8430429K09Rik
44.5083381253594	0	55.4916618746406	8430430B14Rik
83.053839364519	0	16.946160635481	8430431K14Rik
100	0	0	9030025P20Rik
54.3504901960784	45.6495098039216	0	9030404E10Rik
62.037037037037	0	37.962962962963	9030617O03Rik
100	0	0	9030619P08Rik
100	0	0	9030624G23Rik
80.5004314063848	0	19.4995685936152	9030624J02Rik
100	0	0	9130008F23Rik
46.6666666666667	0	53.3333333333333	9130011E15Rik
100	0	0	9130019O22Rik
84.9040139616056	15.0959860383944	0	9130023H24Rik
100	0	0	9130221H12Rik
100	0	0	9130230L23Rik
100	0	0	9130401M01Rik
60.1060304837641	39.8939695162359	0	9230105E05Rik
100	0	0	9230110C19Rik
100	0	0	9230112J17Rik
100	0	0	9230114K14Rik
100	0	0	9230116N13Rik
100	0	0	9330020H09Rik
98.9087301587302	0	1.09126984126984	9330133O14Rik
100	0	0	9330136K24Rik
49.9714122355632	50.0285877644368	0	9330151L19Rik
100	0	0	9330159F19Rik
100	0	0	9330159M07Rik
100	0	0	9330175E14Rik
100	0	0	9330179D12Rik
50.3148614609572	0	49.6851385390428	9330182L06Rik
68.4210526315789	0	31.5789473684211	9430015G10Rik
90.4850746268657	0	9.51492537313433	9430016H08Rik
85.8951175406872	0	14.1048824593128	9430018G01Rik
63.3308984660336	0	36.6691015339664	9430020K01Rik
100	0	0	9430037G07Rik
53.8847117794486	33.1453634085213	12.9699248120301	9430038I01Rik
78.7700084245998	0	21.2299915754002	9430060I03Rik
19.3145512634331	80.6854487365669	0	9430065F17Rik
100	0	0	9430083A17Rik
70.9118311981914	27.8824415975885	1.20572720422005	9430091E24Rik
100	0	0	9530026P05Rik
77.9136104319478	22.0863895680522	0	9530052E02Rik
100	0	0	9530053A07Rik
100	0	0	9530059O14Rik
100	0	0	9530062K07Rik
100	0	0	9530068E07Rik
100	0	0	9530077C05Rik
97.9310344827586	0	2.06896551724138	9530082P21Rik
79.3160967472894	14.3452877397832	6.33861551292744	9530091C08Rik
100	0	0	9630001P10Rik
58.9375448671931	0	41.0624551328069	9630028I04Rik
100	0	0	9830107B12Rik
100	0	0	9830166K06Rik
73.9469578783151	26.0530421216849	0	9930012K11Rik
52.0494469746259	0	47.9505530253741	9930014A18Rik
99.402390438247	0	0.597609561752988	9930021J03Rik
95.8252427184466	0	4.1747572815534	9930104L06Rik
59.493670886076	0	40.5063291139241	9930111J21Rik1
60.0858369098712	0	39.9141630901288	9930111J21Rik2
66.2881476224272	33.7118523775727	0	A130010J15Rik
73.739837398374	0	26.260162601626	A230046K03Rik
100	0	0	A230050P20Rik
100	0	0	A230056J06Rik
100	0	0	A230056P14Rik
20.0751879699248	0	79.9248120300752	A230065H16Rik
55.1701134089393	0	44.8298865910607	A230072C01Rik
65.1536312849162	34.8463687150838	0	A230072E10Rik
100	0	0	A2m
100	0	0	A330008L17Rik
100	0	0	A330023F24Rik
59.1225626740947	0	40.8774373259053	A330035P11Rik
100	0	0	A330040F15Rik
41.3905486148832	0	58.6094513851168	A330069E16Rik
90.6998158379374	9.30018416206262	0	A3galt2
87.8899082568807	0	12.1100917431193	A430005L14Rik
100	0	0	A430033K04Rik
100	0	0	A430035B10Rik
100	0	0	A430046D13Rik
100	0	0	A430078G23Rik
98.422090729783	1.57790927021696	0	A430078I02Rik
