sample	FDR05	FDR01	FDR001
B.Fem.Sp	0.505453531728055	0.51869310793238	0.522595596755504
B.Fo.Sp	0.477472667175184	0.48364386522152	0.492363209130581
B.FrE.BM	0.485175046823224	0.492517168830138	0.503800967519005
B.GC.CB.Sp	0.441117282459953	0.447970451890099	0.457598768054376
B.GC.CC.Sp	0.455824005132621	0.465057148392096	0.472854109796785
B.mem.Sp	0.476020833333333	0.489883396780672	0.503695832948351
B.MZ.Sp	0.459374500506154	0.46955023923445	0.481406218248324
B.PB.Sp	0.500016685020189	0.510625322512549	0.523991655076495
B.PC.BM	0.495076551680325	0.50288677952833	0.506941522928061
B.PC.Sp	0.512569183319954	0.524630541871921	0.53141514973576
B.Sp	0.469417045039403	0.475938639424498	0.489240857037311
B.T1.Sp	0.446406530289815	0.457794353696535	0.466635234952067
B.T2.Sp	0.479432729432729	0.491080937167199	0.500108267290286
B.T3.Sp	0.486579572446556	0.494354863384634	0.505937949455517
B1b.PC	0.452196516766311	0.457779886148008	0.465554046186687
BEC.SLN	0.501879592185453	0.507731582786287	0.519981993697794
DC.103+11b-.SI	0.417382866648184	0.436922910779532	0.462187610235259
DC.103+11b+.SI	0.429745353134688	0.439913867355728	0.458864232879981
DC.4+.Sp	0.420622191750634	0.428702912366051	0.437793327075689
DC.8+.Sp	0.405816948300773	0.417543342483925	0.4309080369969
DC.pDC.Sp	0.422810088828373	0.42511712548883	0.431082635124035
Ep.MEChi.Th	0.431861194731293	0.437174211248285	0.454958035436742
FRC.CD140a+.Madcam-.CD35-.SLN	0.437264425150487	0.434110231603635	0.445011274999076
GN.BM	0.466167868317236	0.478441687697722	0.488613394421237
GN.Sp	0.471898761099591	0.483077548531355	0.494994390264952
GN.Thio.PC	0.481967127303183	0.490573673737817	0.502954209748892
IAP.SLN	0.495854426595448	0.519792844812191	0.539884829604456
ILC2.SI	0.481164970847148	0.48773311230833	0.493928530126055
ILC3.CCR6+.SI	0.468190854870775	0.471564994298746	0.474882520352108
ILC3.NKp46-CCR6-.SI	0.468142615441753	0.472704613800764	0.48101599247413
ILC3.NKp46+.SI	0.458668788616364	0.463490566037736	0.467675611513841
LEC.SLN	0.46234067207416	0.464989390724462	0.480614589316485
LTHSC.34-.BM	0.469938600579546	0.493848242042121	0.506393696719194
LTHSC.34+.BM	0.453415913063303	0.471343983912412	0.483173501206095
MF.102+480+.PC	0.424819055529188	0.430220635704249	0.439172781157793
MF.226+II+480lo.PC	0.404839651820854	0.414034862855678	0.424470467310304
MF.Alv.Lu	0.430659988930437	0.436865241776565	0.447947913033368
MF.Fem.PC	0.4348829247235	0.443024070602049	0.453559339419428
MF.microglia.CNS	0.486182566514773	0.497502746978324	0.507520781105687
MF.PC	0.427726270362554	0.433980456776088	0.442548668605952
MF.pIC.Alv.Lu	0.433202449712547	0.445522054218484	0.457146182495344
MF.RP.Sp	0.430935642518782	0.438592372863271	0.453097705834401
MF.SI	0.437360790642464	0.450648175032878	0.466000593079222
MMP3.48+.BM	0.432641836926745	0.450426921145153	0.461529006882989
