sample	FDR05	FDR01	FDR001
B.Fem.Sp	0.444932432432432	0.458386450555454	0.462552873849216
B.Fo.Sp	0.419997145304025	0.42411681582666	0.431626619700591
B.FrE.BM	0.423073712329911	0.432148819461006	0.442976104272266
B.GC.CB.Sp	0.385125774699234	0.392931937172775	0.403178206583428
B.GC.CC.Sp	0.402908390293133	0.414149659863946	0.423174048174048
B.mem.Sp	0.415783746635359	0.42916951469583	0.443782060169139
B.MZ.Sp	0.403137079988106	0.410964960760473	0.420123698898778
B.PB.Sp	0.45208064355944	0.463460700276042	0.471415607985481
B.PC.BM	0.446868120872524	0.445881981697696	0.448072562358277
B.PC.Sp	0.464217164792981	0.478002125398512	0.490122615803815
B.Sp	0.414759188389053	0.420431306934374	0.431790249897583
B.T1.Sp	0.38983416825013	0.398962070732957	0.407001414427157
B.T2.Sp	0.414826153509731	0.426959376282314	0.435801442041043
B.T3.Sp	0.423431080889644	0.430340264650284	0.442562202223399
B1b.PC	0.396157430640189	0.399362664473684	0.409356725146199
BEC.SLN	0.446956791079449	0.452210695941182	0.467650397275823
DC.103+11b-.SI	0.350183075671277	0.363452597533859	0.38782902680512
DC.103+11b+.SI	0.357313891569279	0.364199832230404	0.383799032778076
DC.4+.Sp	0.361006644101793	0.367790707551176	0.374636383978519
DC.8+.Sp	0.344626700514223	0.353174797744545	0.364267069652425
DC.pDC.Sp	0.360847018150389	0.362398533647552	0.369630140133241
Ep.MEChi.Th	0.376475140259238	0.377961544315357	0.389139515455305
FRC.CD140a+.Madcam-.CD35-.SLN	0.371055495103373	0.365616860052096	0.372707263389582
GN.BM	0.395524109820811	0.408171603677222	0.418222455955824
GN.Sp	0.404734327493847	0.418348104846313	0.430212450592885
GN.Thio.PC	0.415644851529029	0.423161518599981	0.43791021265424
IAP.SLN	0.437614573785518	0.461967963386728	0.489058039961941
ILC2.SI	0.423154497781363	0.4287084782348	0.438557511536489
ILC3.CCR6+.SI	0.404975278121137	0.407063812868597	0.411207058381828
ILC3.NKp46-CCR6-.SI	0.404794598924362	0.40795489180128	0.416224986479178
ILC3.NKp46+.SI	0.396100932385734	0.396507172770204	0.397350993377483
LEC.SLN	0.401675163874727	0.397438385406559	0.406000759589822
LTHSC.34-.BM	0.413148306900986	0.437802306833685	0.448334274421231
LTHSC.34+.BM	0.400565101685449	0.417578047325512	0.427324632952692
MF.102+480+.PC	0.369627286056023	0.37511818860413	0.383046836940636
MF.226+II+480lo.PC	0.346963731076818	0.354480702335597	0.365248738284066
MF.Alv.Lu	0.362118827104001	0.366696274133982	0.377008735080349
MF.Fem.PC	0.374168736479449	0.381235885855061	0.393030623020063
MF.microglia.CNS	0.435124367395284	0.443548387096774	0.454839361487169
MF.PC	0.369628412537917	0.372129112352576	0.380039858960601
MF.pIC.Alv.Lu	0.363995175967547	0.374911909795631	0.388577600756093
MF.RP.Sp	0.372966410360178	0.38084969986596	0.393841166936791
MF.SI	0.372222222222222	0.382462429339584	0.397125519003513
MMP3.48+.BM	0.377475788013461	0.396096733135342	0.4066395401408
MMP4.135+.BM	0.35812567611167	0.374303866969958	0.385899890033804
Mo.6C-II-.Bl	0.384785148643386	0.395008378163859	0.411052233156699
Mo.6C+II-.Bl	0.38127908364157	0.386228876371183	0.399146088160628
NK.27-11b+.BM	0.405667772083208	0.407499417747069	0.410620949195066
NK.27-11b+.Sp	0.400441287267248	0.404277848369335	0.409598756436413
NK.27+11b-.BM	0.397338151690097	0.402914578653303	0.407656805629114
NK.27+11b-.Sp	0.392396184062851	0.397040762617697	0.401507314910596
NK.27+11b+.BM	0.389643638766156	0.397337770382696	0.402023656833405
NK.27+11b+.Sp	0.390301169458617	0.390722274254862	0.39284478582797
NKT.Sp	0.402085967130215	0.408334044915037	0.417901872917385
NKT.Sp.LPS.18hr	0.395251637366425	0.402003938375999	0.411024130417238
NKT.Sp.LPS.3d	0.413844478826428	0.417881438289602	0.423170376129847
NKT.Sp.LPS.3hr	0.398598563817466	0.407934421158456	0.409385113268608
preB.FrD.BM	0.389958438828644	0.394765539803708	0.405232929164008
preT.DN1.Th	0.358747604424023	0.367344838233781	0.376827428333593
preT.DN2a.Th	0.358451793830384	0.374975990165572	0.384597780066369
preT.DN2b.Th	0.371991628880363	0.383112597351168	0.390943964926702
preT.DN3.Th	0.396743378202345	0.408999806038663	0.417221990837151
proB.CLP.BM	0.373405736563631	0.389157360406091	0.3995765086878
proB.FrA.BM	0.367898168270723	0.381578489686598	0.394589858723031
proB.FrBC.BM	0.390700932533602	0.394314117718373	0.402506221116246
STHSC.150-.BM	0.384136236356363	0.397668851300969	0.412511696297286
T.4.Nve.Fem.Sp	0.392328365502077	0.401019815400503	0.409167181842268
T.4.Nve.Sp	0.416231884057971	0.422883829538821	0.43078231292517
T.4.Sp.aCD3+CD40.18hr	0.419430036715426	0.4271144850855	0.436796744074695
T.4.Th	0.410316385571833	0.420020639834881	0.432187827911857
T.8.Nve.Sp	0.39728654297905	0.404855476673428	0.410964874052122
T.8.Th	0.403646780647508	0.411352528999588	0.424308787298111
T.DN4.Th	0.412663299803832	0.428265142040379	0.441081398765795
T.DP.Th	0.440418679549114	0.454222633935464	0.465625786955427
T.ISP.Th	0.433053910636007	0.443852210781345	0.461453256535224
T8.IEL.LCMV.d7.Gut	0.44000851698073	0.451382268827455	0.463117689185963
T8.MP.LCMV.d7.Sp	0.406164527666737	0.414743061280572	0.416085167292897
T8.Tcm.LCMV.d180.Sp	0.389794208026818	0.392548314085079	0.398184912081679
T8.TE.LCMV.d7.Sp	0.418146573286643	0.425123861275372	0.434939899638231
